country,typology,mortality_level,mortality_rank,dodji_score,dodji_tier,burden_tier,priority_score,combined_priority_rank,rank_shift_up,reclassification,priority_label,surveillance_gap,recommendation,iso3,who_ill_defined_pct,who_cod_completeness_pct,who_civil_reg_death_pct,who_civil_reg_birth_pct,who_forensic_alcohol_monitor,who_forensic_drug_monitor,wb_gdp_per_capita,wb_population,wb_life_expectancy,wb_comm_disease_death_pct,ill_defined_std,cod_complete_rev,cod_complete_rev_std,civil_reg_rev,civil_reg_rev_std,quality_score,non_gbd_dodji,dodji_score_regime,non_gbd_dodji_regime
Monaco,Insufficient exposure data,-1.55407633158197,43,2.27785197462129,Worse than expected,Critical,4.35,1,42,Up >=10,Priority I,0,Develop targeted prevalence surveys and mortality sentinel sites; research emerging synthetic opioid and stimulant market dynamics; strengthen diagnostic and certification capacity.,MCO,,100.0,,,,,256799.911212051,38956,86.372,,,0.0,-0.3500241982928783,,,-0.3500241982928783,0.5931685784052039,Insufficient exposure data,Insufficient exposure data
Albania,Low-burden / protected,-0.212865381082766,32,2.301977051011,Worse than expected,Critical,4.25,2,30,Up >=10,Priority I,0,Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies.,ALB,23.511,53.25743,53.34318,,1.0,1.0,9740.7023414631,2411658,79.602,23.0113153060195,2.1351454212066874,46.74257,4.948677296090068,46.65682,5.164999932168936,4.0829408831552305,5.074418098057636,Insufficient exposure data,Insufficient exposure data
Iceland,Medical-system-driven,1.66034016904715,3,0.703428661206264,Worse than expected,Critical,3.95,3,0,Stable,Priority I,0,"Real-time forensic toxicology and mortality surveillance; evaluate safer-supply/OAT scale-out and fentanyl/stimulant early-warning systems; research differential impacts by age, sex, and socioeconomic status.",ISL,6.83983,100.0,100.0,,1.0,1.0,82201.2908518078,385663,82.4560975609756,4.23865121597601,-0.5078227865223065,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.4122517739683964,-0.09530486218651583,Insufficient exposure data,Data-quality-limited
United States of America,Medical-system-driven,2.97161237268035,1,-0.25033193334784,As expected,Critical,3.8,4,-3,Stable,Priority I,1,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,USA,7.19957,100.0,98.25957,,1.0,1.0,82586.7847707894,336755052,78.3853658536585,16.5488949256361,-0.45079131344342677,0.0,-0.3500241982928783,1.7404300000000035,-0.17210503868547614,-0.32430685014059374,0.028083155173284875,Low-burden / protected,Data-quality-limited
Bulgaria,Low-burden / protected,-0.34349737003024,36,0.798993092189358,Worse than expected,High,3.65,5,31,Up >=10,Priority I,0,Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies.,BGR,26.64476,100.0,100.0,,,,15854.0192893772,6446596,75.7560975609756,21.6361889832661,2.6319568657935295,0.0,-0.3500241982928783,0.0,-0.37890833709000427,0.6343414434702156,0.5202546509486466,Insufficient exposure data,Insufficient exposure data
North Macedonia,Data-quality-limited,-0.773483346583111,38,0.973625708604972,Worse than expected,High,3.65,6,32,Up >=10,Priority I,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",MKD,15.52478,100.0,99.99728,,1.0,1.0,8674.35846327485,1827816,75.3160975609756,27.6934961188423,0.8690479871376062,0.0,-0.3500241982928783,0.002719999999996503,-0.3785851382416394,0.04681288353436286,-0.5950793607354561,Insufficient exposure data,Medical-system-driven
Estonia,Data-quality-limited,1.47046589472286,7,0.275918359965989,Worse than expected,High,3.65,7,0,Stable,Priority I,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",EST,6.70472,100.0,100.0,,1.0,1.0,30264.0064885057,1370286,78.7926829268293,12.9083851652427,-0.5292424849925557,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.41939167345847944,-0.5959093727727015,Data-quality-limited,Medical-system-driven
Canada,Medical-system-driven,2.18076286448569,2,-0.247796370837058,As expected,Critical,3.55,8,-6,Stable,Priority I,1,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,CAN,5.08921,100.0,99.75232,,1.0,1.0,54847.5370112652,40049088,81.6263414634146,8.35712219298627,-0.7853577767968063,0.0,-0.3500241982928783,0.24768000000000256,-0.3494782301918044,-0.49495340176049635,-0.40734006130044914,Low-burden / protected,Low-burden / protected
Malta,Low-burden / protected,0.426714783222099,22,0.521590727195709,Worse than expected,High,3.4,9,13,Up >=10,Priority II,0,Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies.,MLT,5.63462,100.0,100.0,,1.0,1.0,40932.5238774461,552747,83.3560975609756,12.9120539342555,-0.698891062692309,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.47594119935839724,-0.524340924572611,Data-quality-limited,Low-burden / protected
Slovenia,Data-quality-limited,0.0365538406705826,27,0.971496953135387,Worse than expected,High,3.4,10,17,Up >=10,Priority II,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",SVN,11.23828,100.0,100.0,,1.0,1.0,32660.4753581346,2120461,81.9292682926829,17.2767347082503,0.18948661127554414,0.0,-0.3500241982928783,0.0,-0.37890833709000427,-0.17981530803577947,-0.23312001668683813,Insufficient exposure data,Low-burden / protected
