country,typology,mortality_level,mortality_rank,dodji_score,dodji_tier,burden_tier,B,S,priority_score,combined_priority_rank,rank_shift_up,reclassification,priority_label,surveillance_gap,recommendation
Iceland,Data-quality-limited,1.66034016904715,3,0.703428661206264,Worse than expected,Critical,0.9565217391304348,0.8260869565217391,4.1,1,2,Stable,Priority I,1,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
Belarus,Data-quality-limited,0.902714618936351,12,0.705410905117321,Worse than expected,Critical,0.7608695652173914,0.8478260869565217,3.8,2,10,Up >=10,Priority I,1,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
Estonia,Data-quality-limited,1.47046589472286,7,0.275918359965989,Worse than expected,Critical,0.8695652173913043,0.6956521739130435,3.75,3,4,Stable,Priority I,1,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
Australia,Medical-system-driven,1.59175148332743,6,-0.0473950988167358,As expected,Critical,0.8913043478260869,0.6304347826086957,3.65,4,2,Stable,Priority I,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
Luxembourg,Data-quality-limited,0.718625267597157,14,0.567754662975557,Worse than expected,High,0.717391304347826,0.7608695652173914,3.6,5,9,Stable,Priority I,1,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
United States of America,Medical-system-driven,2.97161237268035,1,-0.25033193334784,As expected,Critical,1.0,0.41304347826086957,3.45,6,-5,Stable,Priority I,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
Canada,Medical-system-driven,2.18076286448569,2,-0.247796370837058,As expected,Critical,0.9782608695652174,0.43478260869565216,3.45,7,-5,Stable,Priority I,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.
Slovenia,Data-quality-limited,0.0365538406705826,27,0.971496953135387,Worse than expected,Moderate,0.43478260869565216,0.8913043478260869,3.3,8,19,Up >=10,Priority I,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
Albania,Data-quality-limited,-0.212865381082766,32,2.301977051011,Worse than expected,Moderate,0.32608695652173914,1.0,3.3,9,23,Up >=10,Priority I,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
Malta,Data-quality-limited,0.426714783222099,22,0.521590727195709,Worse than expected,High,0.5434782608695652,0.7391304347826086,3.25,10,12,Up >=10,Priority I,1,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
