"country","typology","mortality_level","mortality_rank","dodji_score","dodji_tier","burden_tier","priority_score","combined_priority_rank","rank_shift_up","reclassification","priority_label","surveillance_gap","recommendation"
"Monaco","Insufficient exposure data","-1.55407633158197","43","2.27785197462129","Worse than expected","Critical","4.35","1","42","Up >=10","Priority I","0","Develop targeted prevalence surveys and mortality sentinel sites; research emerging synthetic opioid and stimulant market dynamics; strengthen diagnostic and certification capacity."
"Albania","Low-burden / protected","-0.212865381082766","32","2.301977051011","Worse than expected","Critical","4.25","2","30","Up >=10","Priority I","0","Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies."
"Iceland","Medical-system-driven","1.66034016904715","3","0.703428661206264","Worse than expected","Critical","3.95","3","0","Stable","Priority I","0","Real-time forensic toxicology and mortality surveillance; evaluate safer-supply/OAT scale-out and fentanyl/stimulant early-warning systems; research differential impacts by age, sex, and socioeconomic status."
"United States of America","Medical-system-driven","2.97161237268035","1","-0.25033193334784","As expected","Critical","3.8","4","-3","Stable","Priority I","1","Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration."
"Bulgaria","Low-burden / protected","-0.34349737003024","36","0.798993092189358","Worse than expected","High","3.65","5","31","Up >=10","Priority I","0","Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies."
"North Macedonia","Data-quality-limited","-0.773483346583111","38","0.973625708604972","Worse than expected","High","3.65","6","32","Up >=10","Priority I","0","Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
"Estonia","Data-quality-limited","1.47046589472286","7","0.275918359965989","Worse than expected","High","3.65","7","0","Stable","Priority I","0","Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
"Canada","Medical-system-driven","2.18076286448569","2","-0.247796370837058","As expected","Critical","3.55","8","-6","Stable","Priority I","1","Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration."
"Malta","Low-burden / protected","0.426714783222099","22","0.521590727195709","Worse than expected","High","3.4","9","13","Up >=10","Priority II","0","Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies."
"Slovenia","Data-quality-limited","0.0365538406705826","27","0.971496953135387","Worse than expected","High","3.4","10","17","Up >=10","Priority II","0","Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
"Australia","Medical-system-driven","1.59175148332743","6","-0.0473950988167358","As expected","Critical","3.3","11","-5","Stable","Priority II","0","Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration."
"Austria","Medical-system-driven","0.611885627498329","19","-0.336479730310334","As expected","Critical","3.3","12","7","Stable","Priority II","1","Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration."
"New Zealand","Medical-system-driven","0.624633317700998","18","-0.128096165210612","As expected","Critical","3.3","13","5","Stable","Priority II","0","Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration."
"Luxembourg","Low-burden / protected","0.718625267597157","14","0.567754662975557","Worse than expected","High","3.15","14","0","Stable","Priority II","0","Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies."
"San Marino","Insufficient exposure data","-2.43011165354498","46","1.11851162510212","Worse than expected","Moderate","3.15","15","31","Up >=10","Priority II","0","Develop targeted prevalence surveys and mortality sentinel sites; research emerging synthetic opioid and stimulant market dynamics; strengthen diagnostic and certification capacity."
"Belarus","Low-burden / protected","0.902714618936351","12","0.705410905117321","Worse than expected","High","3.15","16","-4","Stable","Priority II","0","Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies."
"Cyprus","Data-quality-limited","0.050337340539091","26","0.336640192911784","Worse than expected","Moderate","2.8","17","9","Stable","Priority II","0","Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
"Lithuania","Low-burden / protected","1.01606443313667","11","-0.247311173501984","As expected","Moderate","2.6","18","-7","Stable","Priority III","1","Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance."
"Czechia","Data-quality-limited","-0.265332256563276","33","0.05149575720136","Worse than expected","Moderate","2.55","19","14","Up >=10","Priority III","0","Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
"Latvia","Low-burden / protected","0.7076587125339","15","-0.353688385154646","Better than expected","High","2.55","20","-5","Stable","Priority III","1","Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance."
"Andorra","Data-quality-limited","-2.53056529233524","47","1.11438575492967","Worse than expected","Low","2.45","21","26","Up >=10","Priority III","0","Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
"Finland","Low-burden / protected","1.62088719447344","5","-0.562379010891408","Better than expected","Critical","2.45","22","-17","Down >=10","Priority III","1","Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance."
"Belgium","Medical-system-driven","0.592944629853196","20","-0.429294254352914","Better than expected","Critical","2.4","23","-3","Stable","Priority III","1","Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration."
"Croatia","Data-quality-limited","0.218118094007891","24","-0.118885919497889","As expected","Moderate","2.35","24","0","Stable","Priority III","0","Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
"Serbia","Low-burden / protected","-0.276768110248605","34","-0.00366997699775101","As expected","Moderate","2.35","25","9","Stable","Priority III","0","Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance."
"Bosnia and Herzegovina","Insufficient exposure data","-1.89686912111559","45","0.651864686754371","Worse than expected","Low","2.3","26","19","Up >=10","Priority III","0","Develop targeted prevalence surveys and mortality sentinel sites; research emerging synthetic opioid and stimulant market dynamics; strengthen diagnostic and certification capacity."
"Portugal","Low-burden / protected","0.0189914202203693","29","0.622589328950462","Worse than expected","Low","2.2","27","2","Stable","Priority III","0","Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies."
"Denmark","Medical-system-driven","1.34407111476191","10","-0.749379643590862","Better than expected","High","2","28","-18","Down >=10","Priority III","1","Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration."
"Republic of Moldova","Insufficient exposure data","-0.0734262845212437","31","-0.197149119183562","As expected","Moderate","1.95","29","2","Stable","Priority III","0","Establish baseline prevalence and mortality surveillance; prepare research infrastructure before potential escalation."
"Poland","Low-burden / protected","-0.312458694007211","35","-0.217886228661285","As expected","Moderate","1.85","30","5","Stable","Priority IV","0","Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance."
"Spain","Low-burden / protected","0.272805896936847","23","-0.348452146159954","As expected","Low","1.85","31","-8","Stable","Priority III","0","Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance."
"Israel","Low-burden / protected","0.146769326840419","25","-0.0879640780853574","As expected","Moderate","1.85","32","-7","Stable","Priority IV","0","Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance."
"South Korea","Low-burden / protected","0","30","-0.241864851427101","As expected","Moderate","1.85","33","-3","Stable","Priority III","0","Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance."
"Russian Federation","Low-burden / protected","1.403097720235","9","-0.933234031301391","Better than expected","Moderate","1.65","34","-25","Down >=10","Priority IV","0","Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance."
"Ukraine","Data-quality-limited","0.531088510299739","21","-0.508660216593089","Better than expected","Moderate","1.65","35","-14","Down >=10","Priority IV","0","Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
"Turkey","Data-quality-limited","-0.792038839894574","39","-0.309436333605774","As expected","Low","1.6","36","3","Stable","Priority IV","0","Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount."
"Germany","Medical-system-driven","0.627549350442382","17","-0.867911067488752","Better than expected","Moderate","1.6","37","-20","Down >=10","Priority IV","0","Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration."
"Switzerland","Medical-system-driven","0.741867486889241","13","-0.744889107383162","Better than expected","Moderate","1.6","38","-25","Down >=10","Priority IV","0","Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration."
"Netherlands","Low-burden / protected","0.0352109556565698","28","-0.195248460218519","As expected","Low","1.35","39","-11","Down >=10","Priority IV","0","Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance."
"Costa Rica","Low-burden / protected","-0.927276733665832","41","-0.592890590305497","Better than expected","Low","1.25","40","1","Stable","Priority IV","0","Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance."
"France","Low-burden / protected","0.659432605102162","16","-0.529493079885903","Better than expected","Low","1.25","41","-25","Down >=10","Priority IV","0","Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance."
"United Kingdom","Low-burden / protected","1.64983427151395","4","-0.766191163349263","Better than expected","Low","1.25","42","-38","Down >=10","Priority IV","0","Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance."
"Norway","Low-burden / protected","1.40817016290176","8","-0.706645843856076","Better than expected","Low","1","43","-35","Down >=10","Priority IV","0","Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance."
"Japan","Low-burden / protected","-1.69406776404234","44","-0.494881779081819","Better than expected","Low","1","44","0","Stable","Priority IV","0","Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance."
"Italy","Low-burden / protected","-0.524286296226448","37","-1.1202730531842","Better than expected","Low","1","45","-8","Stable","Priority IV","0","Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance."
