country,typology,mortality_level,mortality_rank,dodji_score,dodji_tier,burden_tier,priority_score,combined_priority_rank,rank_shift_up,reclassification,priority_label,surveillance_gap,recommendation,is_microstate
Monaco,Insufficient exposure data,-1.55407633158197,43,2.27785197462129,Worse than expected,Critical,4.35,1,42,Up >=10,Priority I,0,Develop targeted prevalence surveys and mortality sentinel sites; research emerging synthetic opioid and stimulant market dynamics; strengthen diagnostic and certification capacity.,1
Albania,Low-burden / protected,-0.212865381082766,32,2.301977051011,Worse than expected,Critical,4.25,2,30,Up >=10,Priority I,0,Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies.,0
Iceland,Medical-system-driven,1.66034016904715,3,0.703428661206264,Worse than expected,Critical,3.95,3,0,Stable,Priority I,0,"Real-time forensic toxicology and mortality surveillance; evaluate safer-supply/OAT scale-out and fentanyl/stimulant early-warning systems; research differential impacts by age, sex, and socioeconomic status.",1
United States of America,Medical-system-driven,2.97161237268035,1,-0.25033193334784,As expected,Critical,3.8,4,-3,Stable,Priority I,1,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,0
Bulgaria,Low-burden / protected,-0.34349737003024,36,0.798993092189358,Worse than expected,High,3.65,5,31,Up >=10,Priority I,0,Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies.,0
North Macedonia,Data-quality-limited,-0.773483346583111,38,0.973625708604972,Worse than expected,High,3.65,6,32,Up >=10,Priority I,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",0
Estonia,Data-quality-limited,1.47046589472286,7,0.275918359965989,Worse than expected,High,3.65,7,0,Stable,Priority I,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",0
Canada,Medical-system-driven,2.18076286448569,2,-0.247796370837058,As expected,Critical,3.55,8,-6,Stable,Priority I,1,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,0
Malta,Low-burden / protected,0.426714783222099,22,0.521590727195709,Worse than expected,High,3.4,9,13,Up >=10,Priority II,0,Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies.,1
Slovenia,Data-quality-limited,0.0365538406705826,27,0.971496953135387,Worse than expected,High,3.4,10,17,Up >=10,Priority II,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",0
Australia,Medical-system-driven,1.59175148332743,6,-0.0473950988167358,As expected,Critical,3.3,11,-5,Stable,Priority II,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,0
Austria,Medical-system-driven,0.611885627498329,19,-0.336479730310334,As expected,Critical,3.3,12,7,Stable,Priority II,1,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,0
New Zealand,Medical-system-driven,0.624633317700998,18,-0.128096165210612,As expected,Critical,3.3,13,5,Stable,Priority II,0,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,0
Luxembourg,Low-burden / protected,0.718625267597157,14,0.567754662975557,Worse than expected,High,3.15,14,0,Stable,Priority II,0,Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies.,1
San Marino,Insufficient exposure data,-2.43011165354498,46,1.11851162510212,Worse than expected,Moderate,3.15,15,31,Up >=10,Priority II,0,Develop targeted prevalence surveys and mortality sentinel sites; research emerging synthetic opioid and stimulant market dynamics; strengthen diagnostic and certification capacity.,1
Belarus,Low-burden / protected,0.902714618936351,12,0.705410905117321,Worse than expected,High,3.15,16,-4,Stable,Priority II,0,Invest in vital-registration and early-warning systems; research hidden mortality undercount while preserving protective policies.,0
Cyprus,Data-quality-limited,0.050337340539091,26,0.336640192911784,Worse than expected,Moderate,2.8,17,9,Stable,Priority II,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",0
Lithuania,Low-burden / protected,1.01606443313667,11,-0.247311173501984,As expected,Moderate,2.6,18,-7,Stable,Priority III,1,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
Czechia,Data-quality-limited,-0.265332256563276,33,0.05149575720136,Worse than expected,Moderate,2.55,19,14,Up >=10,Priority III,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",0
Latvia,Low-burden / protected,0.7076587125339,15,-0.353688385154646,Better than expected,High,2.55,20,-5,Stable,Priority III,1,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
Andorra,Data-quality-limited,-2.53056529233524,47,1.11438575492967,Worse than expected,Low,2.45,21,26,Up >=10,Priority III,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",1
Finland,Low-burden / protected,1.62088719447344,5,-0.562379010891408,Better than expected,Critical,2.45,22,-17,Down >=10,Priority III,1,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
Belgium,Medical-system-driven,0.592944629853196,20,-0.429294254352914,Better than expected,Critical,2.4,23,-3,Stable,Priority III,1,Maintain mortality surveillance; conduct implementation research on high-burden subpopulations and health-service integration.,0
Croatia,Data-quality-limited,0.218118094007891,24,-0.118885919497889,As expected,Moderate,2.35,24,0,Stable,Priority III,0,"Invest in vital-registration modernisation, medical-examiner capacity, and external mortality audits; prioritise verbal autopsy and sentinel surveillance research to quantify undercount.",0
Serbia,Low-burden / protected,-0.276768110248605,34,-0.003669976997751,As expected,Moderate,2.35,25,9,Stable,Priority III,0,Sustain prevention and harm-reduction coverage; monitor cross-border synthetic drug flows through passive and active surveillance.,0
